City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
Cape Town,-33.93,64.4,93,75,9.17
Port Macquarie,-31.43,86.0,51,0,19.46
Bastos,-21.92,76.35,65,20,7.43
Busselton,-33.64,74.14,81,0,13.69
Phitsanulok,16.82,82.78,55,0,4.7
Troitsko-Pechorsk,62.71,-12.22,59,68,7.76
Hithadhoo,-0.6,83.91,99,36,15.99
Barra do Garcas,-15.89,68.52,86,64,4.52
Kununurra,-15.77,95.0,53,0,8.05
North Bend,43.41,48.92,96,90,9.17
Hermanus,-34.42,63.84,97,88,5.03
Sheridan,39.65,41.67,52,90,6.93
Jamestown,-33.21,95.16,36,32,5.26
Mataura,-46.19,72.07,46,12,7.65
Lalibela,12.04,55.92,33,0,2.62
Bethel,60.79,31.96,100,90,10.29
Severo-Kurilsk,50.68,30.94,100,64,25.99
Lebu,8.96,48.2,45,0,3.36
Puerto Ayora,-0.74,78.51,100,80,9.33
Busselton,-33.64,74.14,81,0,13.69
Esperance,10.24,69.8,94,20,4.92
